# x y step
0 0 0
0 1 1
-1 1 2
-1 0 3
-2 0 4
-2 -1 5
-3 -1 6
-3 0 7
-4 0 8
-4 1 9
-5 1 10
-5 2 11
-4 2 12
-4 3 13
-5 3 14
-6 3 15
-6 4 16
-5 4 17
-4 4 18
-4 5 19
-5 5 20
-6 5 21
-6 6 22
-5 6 23
-4 6 24
-3 6 25
-3 7 26
-2 7 27
-2 6 28
-1 6 29
0 6 30
1 6 31
1 5 32
2 5 33
2 4 34
3 4 35
4 4 36
5 4 37
5 3 38
6 3 39
7 3 40
8 3 41
8 2 42
8 1 43
8 0 44
9 0 45
9 -1 46
9 -2 47
10 -2 48
10 -3 49
11 -3 50
12 -3 51
13 -3 52
14 -3 53
14 -2 54
13 -2 55
12 -2 56
12 -1 57
12 0 58
13 0 59
13 -1 60
14 -1 61
14 0 62
15 0 63
15 -1 64
15 -2 65
15 -3 66
15 -4 67
14 -4 68
14 -5 69
14 -6 70
14 -7 71
14 -8 72
15 -8 73
15 -9 74
16 -9 75
16 -10 76
16 -11 77
15 -11 78
14 -11 79
13 -11 80
